Customer ID;Registration Date;Network;Platform;Age;Gender;Marital Status;Kids;Occupation;Automobile;Property;Number of Logins;Last Login Date;Number of Interactions;Number of Exist. Contracts;Number of New Contracts;Sum of Yearly Management Fee;Sum of Sales Fee
20;01.01.17;Organic;web;26;male;Single;NO;Employee;YES;NO;7;04.01.17;3;0;0;0;0
21;26.04.17;Organic;app;51;female;Married;YES;Employee;YES;NO;19;15.10.17;20;6;0;30,28;0
22;03.05.17;Digital Incent;app;58;female;Married;YES;Unemployeed;YES;NO;1;03.05.17;1;;;0;0
23;04.04.17;Digital Incent;app;29;male;Single;YES;Unemployeed;YES;NO;18;20.04.17;15;1;3;36,67;0
24;20.05.17;Facebook;app;31;male;Married;NO;Employee;YES;NO;7;24.06.17;12;3;0;23,71;0
25;03.05.17;Partnership (non rev share);web;68;male;Married;YES;Freelancer/Self-employed;YES;NO;2;03.05.17;1;;;0;0
26;29.05.17;Partnership (non rev share);web;30;male;Single;NO;Employee;NO;NO;4;15.10.17;7;1;0;0;0
27;13.02.17;Organic;app;37;female;In a Partnership;YES;Employee;YES;NO;1;13.02.17;0;2;0;3,6;0
28;09.02.17;Print;web;39;male;In a Partnership;NO;Employee;YES;NO;12;20.02.17;5;8;0;36,38;0
29;17.05.17;Promotions;web;24;male;In a Partnership;NO;Employee;NO;YES;44;18.01.18;7;2;0;0;0
30;31.01.17;Digital Incent;app;20;male;Single;NO;Student/Trainee;YES;NO;6;01.02.17;1;1;0;0;0
31;02.02.17;Print;app;26;male;Single;NO;Student/Trainee;NO;NO;24;03.01.18;3;3;0;0;0
32;08.02.17;Partnership (non rev share);web;24;male;In a Partnership;NO;Employee;NO;NO;5;12.02.17;0;1;0;0;0
33;27.03.17;Organic;web;55;male;Married;YES;Employee;YES;NO;3;27.03.17;1;1;0;0;0
34;14.03.17;Digital Incent;app;27;male;In a Partnership;NO;Employee;YES;NO;17;19.10.17;1;3;0;22,6;0
35;20.02.17;Partnership (non rev share);web;28;male;Single;NO;Freelancer/Self-employed;NO;NO;1;20.02.17;0;2;0;6,14;0
36;06.02.17;Promotions;web;35;male;In a Partnership;NO;Employee;YES;YES;23;20.02.17;7;5;0;26,78;0
37;04.05.17;Print;app;45;male;Married;YES;Civil Servant;YES;NO;6;01.06.17;2;1;0;0;0
38;21.05.17;Organic;web;33;male;Married;YES;Employee;YES;NO;10;26.11.17;6;1;0;35,21;0
39;14.03.17;Organic;web;29;male;In a Partnership;YES;Student/Trainee;YES;YES;1;14.03.17;1;1;0;0;0
40;07.05.17;Organic;app;29;male;Married;YES;Employee;YES;YES;18;15.09.17;7;3;0;15,09;0
41;27.04.17;Partnership (non rev share);web;27;female;Single;NO;Employee;YES;YES;3;08.05.17;3;1;0;0;0
42;26.03.17;Digital Incent;app;50;male;Single;NO;Employee;YES;NO;1;26.03.17;5;1;0;0;0
43;27.05.17;Partnership (non rev share);web;33;male;In a Partnership;NO;Employee;YES;YES;9;01.07.17;5;1;0;0;0
44;12.04.17;Partnership (non rev share);app;58;male;Married;NO;Retired;YES;NO;2;12.04.17;1;1;0;0;0
45;26.04.17;Partnership (non rev share);web;46;male;Married;YES;Employee;NO;NO;94;19.02.18;54;12;2;150,58;0
46;19.04.17;Partnership (non rev share);app;64;male;Married;NO;Retired;YES;NO;78;11.03.18;95;9;1;111,08;0
47;28.05.17;Digital Incent;app;28;male;Single;NO;Unemployeed;NO;NO;1;28.05.17;1;1;0;0;0
48;15.05.17;Partnership (non rev share);web;39;male;Married;YES;Employee;YES;NO;17;21.01.18;10;7;0;0;0
49;31.03.17;Organic;web;69;male;Married;YES;Retired;YES;NO;8;14.04.17;12;2;0;38,45;0
50;10.03.17;Organic;app;38;male;In a Partnership;NO;Employee;NO;NO;3;10.03.17;15;2;0;0;0
51;24.01.17;Organic;app;41;male;Single;NO;Freelancer/Self-employed;YES;NO;2;24.01.17;2;;;0;0
52;17.05.17;Partnership (non rev share);web;37;male;Single;NO;Employee;YES;NO;76;29.10.17;32;9;0;78,53;0
53;28.04.17;Facebook;web;25;male;In a Partnership;NO;Employee;YES;NO;26;10.11.17;28;6;3;127,59;89
54;20.04.17;Organic;app;51;male;Married;NO;Employee;NO;NO;1;20.04.17;1;2;0;0;0
55;04.01.17;Organic;app;27;male;Single;NO;Employee;YES;NO;8;23.01.17;3;6;0;59,91;0
56;17.05.17;Partnership (non rev share);web;52;female;Married;YES;Employee;YES;NO;8;24.07.17;1;1;0;0;0
57;17.03.17;Organic;app;32;male;Single;NO;Employee;YES;YES;17;04.09.17;6;2;0;71,1;0
58;05.01.17;Organic;web;29;male;In a Partnership;NO;Employee;YES;NO;13;13.02.17;7;3;0;0;0
59;21.05.17;Digital Incent;app;22;female;In a Partnership;NO;Student/Trainee;NO;NO;1;21.05.17;9;2;0;47,05;0
60;17.05.17;Partnership (non rev share);web;34;male;In a Partnership;NO;Employee;NO;NO;14;04.09.17;15;4;0;0;0
61;16.01.17;Promotions;web;30;male;In a Partnership;NO;Student/Trainee;YES;NO;5;03.03.17;6;5;0;0;0
62;20.04.17;Digital Incent;app;21;female;In a Partnership;YES;Unemployeed;YES;NO;3;20.04.17;2;1;0;0;0
63;15.04.17;Organic;app;35;male;In a Partnership;NO;Employee;YES;NO;23;26.03.18;37;4;0;0;0
64;06.05.17;Print;app;38;male;Married;YES;Employee;YES;NO;34;25.03.18;18;10;0;41,77;0
65;18.05.17;Organic;app;27;male;In a Partnership;NO;Civil Servant;YES;NO;4;21.05.17;11;2;0;0;0
66;22.04.17;Digital Incent;app;38;male;Single;YES;Employee;NO;NO;1;22.04.17;2;1;0;0;0
67;11.02.17;Organic;app;34;male;Single;NO;Employee;NO;NO;67;23.01.18;32;3;0;62,04;0
68;29.03.17;Organic;app;33;male;Married;YES;Employee;YES;NO;28;25.03.18;15;5;0;0;0
69;08.05.17;Organic;app;36;male;Married;YES;Employee;YES;NO;60;17.03.18;10;4;0;64,3;0
70;16.05.17;Partnership (non rev share);web;54;male;Married;NO;Retired;NO;NO;18;01.02.18;9;5;0;52,01;0
71;09.02.17;Promotions;web;35;male;In a Partnership;YES;Employee;YES;NO;25;29.10.17;3;4;0;23,7;0
72;17.05.17;Partnership (non rev share);web;43;male;Married;YES;Employee;YES;YES;18;26.02.18;20;5;0;0;0
73;18.04.17;Partnership (non rev share);web;30;male;In a Partnership;NO;Employee;NO;NO;4;18.04.17;9;1;0;2,7;0
74;16.02.17;Partnership (non rev share);web;31;male;Single;NO;Employee;NO;NO;18;09.12.17;20;4;0;0;0
75;21.02.17;Partnership (non rev share);web;33;male;Married;NO;Employee;YES;NO;27;19.04.18;10;3;0;67,33;0
76;15.02.17;Organic;web;71;male;Single;NO;Retired;NO;NO;6;23.02.17;0;1;0;0;0
77;30.05.17;Partnership (non rev share);web;41;male;Married;YES;Employee;YES;NO;8;09.06.17;4;3;0;38,99;0
78;03.03.17;Organic;web;31;male;Married;YES;Employee;YES;YES;6;03.03.17;0;1;0;0;0
79;17.05.17;Digital Incent;app;30;male;Single;NO;Employee;NO;NO;1;17.05.17;7;1;0;0;0
80;12.01.17;Promotions;web;38;male;In a Partnership;NO;Employee;NO;YES;9;14.09.17;7;3;0;9,58;0
81;19.05.17;Partnership (non rev share);web;55;female;In a Partnership;NO;Employee;YES;NO;10;02.03.18;16;4;1;31,86;0
82;27.02.17;Digital Incent;web;32;male;Married;YES;Retired;YES;NO;7;04.03.17;0;1;0;0;0
83;11.01.17;Organic;app;27;female;Single;NO;Employee;YES;NO;13;23.01.17;5;3;0;41,71;0
84;26.01.17;Organic;app;34;male;In a Partnership;YES;Employee;YES;NO;21;10.04.17;0;3;0;59,49;0
85;11.03.17;Promotions;web;54;male;Single;NO;Employee;YES;NO;5;18.05.17;4;3;0;11,33;0
86;31.05.17;Partnership (non rev share);web;27;male;In a Partnership;NO;Employee;YES;NO;20;26.10.17;12;5;0;8,03;0
87;14.05.17;Organic;app;33;female;In a Partnership;NO;Employee;YES;NO;6;15.05.17;9;1;0;39,61;0
88;03.03.17;Organic;app;47;male;In a Partnership;YES;Employee;YES;NO;12;11.04.17;1;4;0;0;0
89;09.04.17;Digital Incent;app;28;male;Single;NO;Employee;NO;NO;4;09.04.17;4;1;0;0;0
90;20.02.17;Organic;web;22;male;Single;NO;Student/Trainee;YES;NO;7;22.03.17;0;3;0;0;0
91;13.05.17;Organic;app;34;male;Married;YES;Employee;YES;NO;20;21.11.17;8;4;0;35,54;0
92;20.04.17;Partnership (non rev share);web;30;male;In a Partnership;NO;Employee;NO;NO;1;20.04.17;10;2;0;0;0
93;23.04.17;Partnership (non rev share);web;35;male;In a Partnership;NO;Employee;NO;NO;7;19.11.17;13;3;0;39,93;0
94;30.03.17;Partnership (non rev share);web;40;male;Married;YES;Employee;YES;YES;1;30.03.17;4;2;0;28,31;0
95;20.05.17;Partnership (non rev share);web;59;male;Married;NO;Civil Servant;YES;NO;3;27.06.17;5;3;0;0;0
96;23.05.17;Partnership (non rev share);web;32;male;In a Partnership;NO;Employee;YES;NO;3;23.05.17;8;3;0;88,37;0
97;31.05.17;Organic;app;31;female;Single;NO;Employee;NO;NO;3;31.05.17;14;1;0;0;0
98;26.01.17;Organic;web;28;male;In a Partnership;NO;Employee;YES;NO;8;18.06.17;2;1;1;2,82;188
99;11.05.17;Organic;web;27;female;In a Partnership;NO;Employee;NO;NO;4;18.05.17;1;5;0;0;0
100;22.04.17;Partnership (non rev share);web;48;male;Single;NO;Employee;YES;NO;36;30.04.18;18;4;0;60,34;0
101;12.03.17;Organic;app;20;female;Single;NO;Student/Trainee;YES;NO;13;18.03.17;2;1;0;0;0
102;29.01.17;Organic;app;68;male;Married;YES;Retired;YES;NO;23;16.02.18;8;9;0;0;0
103;18.04.17;Partnership (non rev share);web;35;male;In a Partnership;NO;Unemployeed;NO;YES;4;24.04.17;6;3;0;134,11;0
104;05.02.17;Partnership (non rev share);web;34;male;In a Partnership;NO;Freelancer/Self-employed;YES;NO;268;20.02.18;25;15;0;263,2;0
105;27.05.17;Digital Incent;app;27;male;In a Partnership;NO;Employee;YES;NO;4;28.05.17;7;3;0;0;0
106;27.03.17;Promotions;web;29;male;In a Partnership;NO;Employee;YES;NO;21;27.05.17;6;3;0;0,11;0
107;29.04.17;Partnership (non rev share);web;44;male;Married;YES;Employee;YES;NO;6;17.03.18;2;2;0;187,17;0
108;13.04.17;Partnership (non rev share);web;48;male;Married;YES;Employee;YES;NO;19;23.04.18;16;6;0;87,89;0
109;06.04.17;Digital Incent;app;42;female;Single;YES;Employee;YES;NO;3;06.04.17;3;6;0;0;0
110;22.05.17;Organic;app;29;female;In a Partnership;NO;Employee;YES;NO;16;10.11.17;29;4;0;6,63;0
111;29.03.17;Promotions;web;44;female;In a Partnership;NO;Employee;NO;NO;4;07.04.17;9;1;0;0;0
112;04.05.17;Digital Incent;app;22;female;Single;NO;Employee;YES;YES;1;04.05.17;9;1;0;0;0
113;05.03.17;Partnership (non rev share);web;46;male;Married;YES;Employee;YES;NO;2;05.03.17;5;0;0;0;0
114;12.03.17;Digital Incent;app;44;male;In a Partnership;YES;Civil Servant;YES;NO;2;14.03.17;5;2;0;35,98;0
115;28.03.17;Digital Incent;app;39;male;Married;YES;Unemployeed;NO;NO;2;28.03.17;3;1;0;0;0
116;17.05.17;Partnership (non rev share);web;51;male;In a Partnership;YES;Civil Servant;YES;NO;4;02.08.17;10;2;0;40,45;0
117;12.01.17;Organic;app;31;female;In a Partnership;YES;Employee;YES;YES;4;12.01.17;1;;;0;0
118;28.04.17;Partnership (non rev share);web;57;male;Married;YES;Employee;YES;NO;20;03.03.18;15;8;0;0;0
119;09.02.17;Organic;app;26;male;Married;NO;Employee;YES;NO;36;12.06.17;6;3;0;8,35;0
120;27.05.17;Digital Incent;app;35;female;In a Partnership;YES;Unemployeed;YES;NO;5;27.05.17;12;1;0;0;0
121;03.03.17;Facebook;app;48;female;Single;NO;Unemployeed;NO;NO;9;29.03.17;0;;;0;0
122;27.04.17;Partnership (non rev share);web;64;male;Married;YES;Retired;YES;NO;6;26.12.17;8;1;0;0;0
123;02.04.17;Promotions;web;28;male;In a Partnership;NO;Employee;YES;YES;4;11.04.17;8;3;0;48,34;0
124;27.04.17;Partnership (non rev share);web;28;male;In a Partnership;NO;Freelancer/Self-employed;NO;NO;91;29.03.18;28;3;0;0;0
125;18.05.17;Organic;app;83;female;Married;NO;Retired;YES;NO;1;18.05.17;8;1;0;0;0
126;13.03.17;Promotions;web;26;male;Single;NO;Employee;NO;NO;1;13.03.17;5;1;0;14,41;0
127;20.05.17;Partnership (non rev share);web;50;male;Married;YES;Civil Servant;YES;NO;11;05.06.17;9;6;0;0;0
128;21.05.17;Partnership (non rev share);web;27;female;Married;YES;Civil Servant;YES;NO;7;30.05.17;8;3;0;49,37;0
129;19.03.17;Organic;app;47;male;Married;YES;Employee;YES;NO;13;30.09.17;9;3;1;11,25;0
130;07.02.17;Facebook;app;26;male;Single;NO;Freelancer/Self-employed;NO;NO;20;13.03.17;26;6;0;56,37;0
131;29.04.17;Partnership (non rev share);web;52;male;Married;YES;Employee;YES;NO;16;24.04.18;21;6;0;15,52;0
132;21.02.17;Partnership (non rev share);web;27;male;Single;NO;Employee;NO;NO;8;07.03.17;8;1;0;0;0
133;05.02.17;Organic;app;35;female;In a Partnership;YES;Retired;YES;NO;9;03.05.18;4;;;0;0
134;15.05.17;Organic;web;53;male;Married;YES;Freelancer/Self-employed;YES;NO;2;15.05.17;2;;;0;0
135;15.01.17;Facebook;app;29;male;Single;NO;Student/Trainee;YES;YES;17;19.01.17;13;1;0;0;0
136;16.04.17;Organic;app;31;male;In a Partnership;NO;Unemployeed;NO;YES;6;20.04.17;1;1;0;0;0
137;17.05.17;Partnership (non rev share);web;27;male;In a Partnership;NO;Employee;YES;NO;59;04.04.18;27;4;0;112,44;0
138;26.02.17;Promotions;web;37;male;Married;YES;Employee;YES;NO;3;26.02.17;0;2;0;0;0
139;15.05.17;Partnership (non rev share);web;59;male;Married;YES;Employee;YES;NO;18;25.09.17;12;9;0;325,31;0
140;28.04.17;Partnership (non rev share);web;28;male;In a Partnership;NO;Employee;YES;YES;33;13.01.18;12;2;0;0;0
141;21.02.17;Partnership (non rev share);web;49;male;Married;YES;Employee;YES;NO;12;10.03.17;17;8;0;45,05;0
142;12.04.17;Partnership (non rev share);web;55;male;In a Partnership;YES;Employee;YES;NO;11;01.11.17;21;6;0;72,45;0
143;13.02.17;Digital Incent;app;31;male;In a Partnership;YES;Employee;YES;NO;1;13.02.17;2;1;0;0;0
144;22.04.17;Partnership (non rev share);web;29;male;In a Partnership;NO;Employee;NO;NO;2;22.04.17;5;1;0;12,43;0
145;26.04.17;Organic;app;61;male;Single;NO;Freelancer/Self-employed;NO;NO;5;28.04.17;12;2;0;0;0
146;26.04.17;Partnership (non rev share);web;69;male;Married;YES;Retired;YES;NO;8;13.10.17;4;2;0;0,35;0
147;26.01.17;Digital Incent;app;36;male;Single;NO;Employee;YES;YES;1;26.01.17;6;1;0;59,51;0
148;09.03.17;Digital Incent;app;32;male;Single;NO;Employee;YES;NO;4;09.03.17;1;1;0;0;0
149;04.03.17;Promotions;web;50;male;In a Partnership;NO;Employee;YES;NO;2;04.03.17;2;2;0;0;89
150;22.05.17;Partnership (non rev share);web;45;male;Married;YES;Employee;YES;NO;6;09.06.17;1;1;0;15,5;0
151;30.01.17;Organic;app;38;male;In a Partnership;NO;Employee;NO;NO;4;21.02.17;8;5;0;167,69;0
152;27.05.17;Digital Incent;app;21;male;In a Partnership;NO;Student/Trainee;NO;YES;27;12.06.17;15;1;0;0;0
153;23.04.17;Partnership (non rev share);web;55;female;Married;YES;Employee;YES;NO;8;11.05.17;8;4;0;20,22;0
154;11.02.17;Digital Incent;app;24;male;Single;NO;Unemployeed;YES;NO;3;12.02.17;2;1;0;0;0
155;11.02.17;Partnership (non rev share);web;38;male;In a Partnership;NO;Civil Servant;YES;NO;16;15.04.18;6;5;0;0;0
156;21.05.17;Partnership (non rev share);web;39;male;Married;NO;Employee;YES;NO;10;25.10.17;6;4;0;50,1;0
157;08.02.17;Digital Incent;app;36;female;Single;YES;Employee;NO;NO;1;08.02.17;4;1;0;14,82;0
158;14.05.17;Promotions;app;28;male;In a Partnership;NO;Student/Trainee;YES;NO;8;23.05.17;8;2;0;0;0
159;06.02.17;Print;web;74;male;Married;YES;Retired;NO;NO;4;13.02.17;0;2;0;6,9;0
160;27.05.17;Digital Incent;app;31;female;Single;YES;Student/Trainee;NO;NO;3;27.05.17;2;1;0;0;0
161;02.03.17;Digital Incent;app;31;male;Married;YES;Employee;NO;NO;13;08.03.17;2;1;0;0;0
162;26.04.17;Partnership (non rev share);web;36;male;Single;NO;Employee;NO;NO;4;26.04.17;13;3;0;56,4;0
163;08.03.17;Promotions;web;43;male;Single;YES;Freelancer/Self-employed;YES;YES;22;03.11.17;6;8;0;89,11;0
164;04.02.17;Organic;app;29;male;Married;YES;Employee;YES;NO;30;26.04.18;17;7;0;117,19;0
165;06.01.17;Organic;app;28;male;Single;NO;Employee;YES;NO;44;07.04.17;7;3;0;0;0
166;28.05.17;Digital Incent;app;34;male;Married;YES;Employee;YES;NO;5;30.05.17;8;1;0;44,8;0
167;30.03.17;Organic;app;37;male;In a Partnership;NO;Employee;NO;NO;37;21.12.17;16;2;0;18,72;0
168;20.02.17;Partnership (non rev share);web;73;male;Married;NO;Retired;YES;NO;6;01.09.17;13;4;0;8,32;0
169;16.04.17;Partnership (non rev share);web;38;male;Married;YES;Employee;YES;NO;29;17.04.18;13;3;0;30,61;0
170;08.05.17;Partnership (non rev share);web;40;male;Married;YES;Employee;NO;NO;7;25.10.17;8;2;0;22,93;0
171;09.04.17;Digital Incent;app;32;male;Married;YES;Unemployeed;NO;NO;2;09.04.17;1;;;0;0
172;14.04.17;Organic;web;49;female;Married;YES;Employee;YES;NO;3;14.04.17;9;2;0;19,09;0
173;05.05.17;Promotions;app;35;male;Single;NO;Unemployeed;NO;NO;18;30.06.17;13;3;0;34,04;0
174;27.04.17;Partnership (non rev share);web;47;male;Married;NO;Employee;NO;NO;7;03.10.17;17;3;0;0;0
175;23.05.17;Partnership (non rev share);web;26;male;In a Partnership;NO;Employee;YES;YES;18;07.12.17;15;4;0;78,13;0
176;10.01.17;Print;web;43;male;Married;NO;Employee;YES;NO;9;26.01.17;1;6;0;3,34;0
177;17.03.17;Promotions;web;27;male;Single;NO;Employee;NO;NO;16;29.10.17;9;5;0;0,65;0
178;30.05.17;Partnership (non rev share);web;27;male;Single;NO;Employee;YES;NO;19;05.07.17;6;3;0;0;0
179;25.02.17;Digital Incent;app;30;male;Single;NO;Unemployeed;YES;NO;2;25.02.17;3;1;0;0;0
180;07.03.17;Digital Incent;app;19;male;In a Partnership;YES;Student/Trainee;YES;YES;1;07.03.17;1;;;0;0
181;10.05.17;Promotions;web;33;male;Single;NO;Employee;YES;NO;11;09.04.18;6;1;0;0;0
182;12.02.17;Digital Incent;app;26;female;Single;YES;Employee;NO;NO;13;13.02.18;2;4;0;7,9;0
183;17.05.17;Partnership (non rev share);web;24;female;Single;NO;Student/Trainee;NO;NO;2;17.05.17;4;1;0;11,12;0
184;17.02.17;Organic;web;23;male;Single;NO;Student/Trainee;NO;NO;24;28.02.18;26;5;0;0;89
185;20.04.17;Partnership (non rev share);web;49;male;Single;NO;Employee;YES;NO;61;27.03.18;31;4;0;156,08;0
186;16.05.17;Partnership (non rev share);web;69;female;Married;YES;Retired;YES;NO;22;23.02.18;13;9;0;23,78;0
187;09.02.17;Digital Incent;app;39;female;Single;NO;Civil Servant;YES;YES;1;09.02.17;0;;;0;0
188;29.05.17;Partnership (non rev share);web;27;female;In a Partnership;YES;Employee;NO;NO;2;29.05.17;1;4;0;0;0
189;27.04.17;Partnership (non rev share);web;78;male;Single;YES;Retired;YES;NO;2;27.04.17;2;2;0;1,41;0
190;15.02.17;Partnership (non rev share);web;30;male;Married;NO;Employee;YES;NO;92;15.03.18;45;10;2;165,8;0
191;17.03.17;Digital Incent;app;37;male;Married;YES;Freelancer/Self-employed;NO;NO;4;17.03.17;5;;;0;0
192;31.05.17;Digital Incent;app;29;female;In a Partnership;YES;Unemployeed;NO;NO;6;31.05.17;2;1;0;0;0
193;17.05.17;Partnership (non rev share);web;29;male;Single;NO;Employee;NO;NO;1;17.05.17;1;1;0;75,31;0
194;14.04.17;Organic;web;47;male;In a Partnership;YES;Employee;YES;NO;2;14.04.17;6;1;0;2,31;0
195;11.04.17;Partnership (non rev share);web;34;male;Single;NO;Employee;YES;NO;9;09.08.17;4;3;0;0;0
196;13.04.17;Partnership (non rev share);web;38;male;Married;YES;Employee;YES;NO;2;13.04.17;6;1;0;0;0
197;04.02.17;Partnership (non rev share);web;38;male;Single;NO;Employee;YES;NO;35;04.04.18;15;8;1;40,17;85
198;26.04.17;Partnership (non rev share);web;45;male;Single;YES;Employee;YES;NO;10;11.05.17;2;2;0;0;0
199;22.04.17;Partnership (non rev share);web;67;male;Married;YES;Retired;YES;NO;2;22.04.17;3;;;0;0
200;28.05.17;Partnership (non rev share);web;46;male;Married;YES;Employee;YES;NO;1;28.05.17;4;1;0;0;0
201;07.01.17;Organic;app;51;male;Married;YES;Employee;YES;NO;20;27.10.17;7;1;0;37,69;0
202;24.05.17;Digital Incent;app;36;male;Married;YES;Employee;YES;NO;13;31.05.17;3;1;0;0;0
203;10.02.17;Digital Incent;app;31;male;Married;YES;Employee;YES;NO;1;10.02.17;0;1;0;0;0
204;10.01.17;Organic;app;37;male;Married;YES;Employee;YES;NO;11;31.01.17;3;2;0;29,18;0
205;21.04.17;Partnership (non rev share);web;23;female;In a Partnership;NO;Employee;NO;YES;2;21.04.17;13;3;0;2,33;0
206;14.02.17;Organic;web;26;male;Single;NO;Employee;NO;NO;14;10.11.17;20;2;0;0,23;0
207;12.03.17;Promotions;web;33;male;Married;YES;Unemployeed;YES;NO;5;13.03.17;1;1;0;0;0
208;02.02.17;Partnership (non rev share);web;37;male;Married;NO;Freelancer/Self-employed;YES;NO;16;07.11.17;6;6;0;53,73;0
209;21.02.17;Digital Incent;app;47;male;Single;YES;Unemployeed;NO;NO;2;21.02.17;0;;;0;0
210;14.03.17;Digital Incent;app;31;female;Single;NO;Unemployeed;NO;NO;7;07.06.17;3;;;0;0
211;16.02.17;Organic;app;47;male;In a Partnership;YES;Employee;NO;NO;29;12.01.18;2;3;0;27,78;0
212;17.05.17;Partnership (non rev share);web;30;male;Single;NO;Employee;YES;NO;2;17.05.17;1;1;0;0;0
213;05.03.17;Digital Incent;app;26;female;Married;NO;Employee;YES;NO;5;05.03.17;10;1;0;35,11;0
214;22.03.17;Organic;app;33;male;Married;YES;Employee;NO;NO;2;17.08.17;4;;;0;0
215;07.02.17;Organic;web;29;male;In a Partnership;NO;Employee;YES;YES;5;23.02.17;2;4;0;0;0
216;07.01.17;Digital Incent;app;36;male;In a Partnership;NO;Employee;YES;NO;22;03.12.17;0;2;0;0;0
217;29.05.17;Digital Incent;app;34;male;Single;NO;Employee;YES;YES;3;29.05.17;1;1;0;0;0
218;29.03.17;Organic;web;42;female;Single;NO;Employee;NO;NO;10;27.09.17;9;3;0;34,63;0
219;10.05.17;Facebook;app;25;male;Single;NO;Employee;YES;YES;23;25.09.17;31;6;1;107,08;1836,1
220;19.04.17;Partnership (non rev share);web;50;male;In a Partnership;NO;Employee;YES;NO;78;19.04.18;24;10;0;95,65;0
221;08.03.17;Digital Incent;app;38;male;Married;YES;Civil Servant;NO;NO;2;08.03.17;1;;;0;0
222;30.04.17;Partnership (non rev share);web;42;male;In a Partnership;YES;Employee;NO;YES;7;21.06.17;9;3;0;77,12;0
223;23.01.17;Digital Incent;app;30;male;In a Partnership;YES;Civil Servant;YES;NO;9;25.01.17;5;1;0;37,43;0
224;13.04.17;Digital Incent;app;19;male;Single;NO;Unemployeed;NO;YES;3;13.04.17;1;1;0;0;0
225;07.03.17;Partnership (non rev share);web;69;male;Married;YES;Freelancer/Self-employed;YES;NO;7;26.06.17;12;2;0;24,91;0
226;09.05.17;Test;app;32;male;Single;NO;Unemployeed;NO;NO;5;18.05.17;3;1;0;0;0
227;25.01.17;Digital Incent;app;38;male;In a Partnership;NO;Employee;YES;NO;10;13.02.17;13;3;0;46,15;0
228;05.02.17;Organic;web;79;male;Married;YES;Retired;YES;NO;3;06.02.17;4;5;0;10,66;0
229;29.03.17;Organic;app;22;male;In a Partnership;NO;Employee;YES;NO;76;03.03.18;20;4;1;8,75;0
230;03.04.17;Digital Incent;app;33;male;Married;YES;Unemployeed;YES;NO;43;10.02.18;23;2;1;171,23;0
231;14.04.17;Organic;app;70;male;Married;NO;Retired;YES;NO;40;18.03.18;13;;;0;0
232;09.05.17;Organic;web;30;male;Married;YES;Civil Servant;YES;YES;100;27.04.18;40;4;2;31,7;456,55
233;26.02.17;Digital Incent;app;35;female;Single;NO;Employee;YES;NO;5;27.02.17;1;;;0;0
234;30.05.17;Partnership (non rev share);web;50;female;Married;NO;Unemployeed;YES;NO;35;12.03.18;27;4;0;63,26;0
235;16.02.17;Digital Incent;app;22;male;Single;YES;Student/Trainee;NO;YES;2;16.02.17;0;;;0;0
236;17.04.17;Organic;web;35;male;Married;YES;Employee;NO;NO;9;26.01.18;36;1;2;26,61;3018,16
