Contract ID;Created Date;Type;Insurance Category;Yearly Management Fee;Sales Fee;Customer ID
70;11.05.17;Existing Contract;Household contents insurance;13,3;0;4912
71;08.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;4242
72;28.03.17;Existing Contract;Personal liability insurance;16,61;0;3846
73;28.06.17;Existing Contract;Occupational disability insurance;5;0;969
74;16.05.17;Existing Contract;Statutory health insurance;;0;1976
75;07.04.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;5218
76;14.05.17;Existing Contract;Statutory health insurance;;0;2682
77;29.03.17;Existing Contract;Travel health insurance;0,19;0;2077
78;22.03.17;Existing Contract;Travel health insurance;0,09;0;4533
79;29.03.17;Existing Contract;Statutory health insurance;;0;2778
80;13.04.17;Existing Contract;Homeowner’s building insurance;;0;3773
81;09.06.17;Existing Contract;Personal liability insurance & professional indemnity insurance;9,75;0;1565
82;07.02.17;Existing Contract;Statutory health insurance;;0;1677
83;21.02.17;Existing Contract;Accident insurance;36,45;0;2759
84;26.04.17;Existing Contract;Statutory health insurance;;0;2696
85;28.05.17;Existing Contract;Statutory health insurance;;0;323
86;07.02.17;Existing Contract;Private health insurance & compulsory long-term nursing care insurance;27,49;0;730
87;02.06.17;Existing Contract;Travel health insurance;;0;695
88;03.05.17;Existing Contract;Motor vehicle liability insurance (with insurance cover certificate);30,96;0;2301
89;07.08.17;New Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;44,15;0;2705
90;09.03.18;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;1775
91;31.05.17;Existing Contract;Statutory health insurance;;0;1820
92;15.03.18;Existing Contract;Household contents insurance;12,58;0;4536
93;12.05.17;Existing Contract;Personal liability insurance;0;0;3515
94;04.04.17;Existing Contract;Household contents insurance;0;0;1356
95;21.02.17;Existing Contract;Statutory health insurance;;0;5309
96;11.01.17;Existing Contract;Statutory health insurance;;0;3853
97;22.11.17;Existing Contract;Legal protection insurance;65,33;0;4567
98;26.04.17;Existing Contract;Statutory health insurance;;0;4304
99;15.09.17;Existing Contract;Boat liability insurance;8,75;0;3005
100;03.05.17;New Contract;Personal liability insurance;6,39;0;5154
101;28.06.17;Existing Contract;Pension fund;;0;3766
102;12.05.17;Existing Contract;Motorcycle insurance;8;0;2582
103;17.09.17;Existing Contract;Personal liability insurance;11,75;0;93
104;20.04.17;Existing Contract;Motor vehicle liability insurance;;0;4558
105;28.03.17;Existing Contract;Personal liability insurance;20,3;0;1227
106;25.07.17;New Contract;Occupational disability insurance;17,83;1966,2;4016
107;28.08.17;Existing Contract;Legal protection insurance;27,25;0;3898
108;31.03.17;Existing Contract;Term life insurance;;0;2509
109;10.04.17;Existing Contract;Funeral insurance;;0;388
110;15.09.17;Existing Contract;ADAC (automobile) membership;;0;2460
111;22.07.17;Existing Contract;Personal liability insurance;;0;1114
112;23.05.17;Existing Contract;Mobile phone insurance;;0;1361
113;07.11.17;Existing Contract;Motor vehicle legal protection insurance;0;0;2652
114;08.03.17;Existing Contract;Statutory health insurance;;0;420
115;21.06.17;Existing Contract;Endowment life insurance;;0;4650
116;21.05.17;Existing Contract;Statutory health insurance;;0;2244
117;24.05.17;Existing Contract;Legal protection insurance;24,54;0;2116
118;09.06.17;Existing Contract;Private pension insurance;36;0;1269
119;18.07.17;Existing Contract;Occupational disability insurance;5,91;0;4141
120;15.05.17;Existing Contract;Household contents insurance;26,4;0;3082
121;11.09.17;Existing Contract;Legal protection insurance;58,68;0;4732
122;16.04.17;Existing Contract;Statutory health insurance;;0;2464
123;31.03.17;Existing Contract;Personal liability insurance;14,46;0;2821
124;22.03.17;Existing Contract;Travel health insurance;0,18;0;3755
125;23.03.17;Existing Contract;Household contents insurance;;0;1706
126;17.07.17;Existing Contract;Legal protection insurance;15,66;0;4377
127;23.01.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance (with insurance cover certificate);0;0;3642
128;10.03.17;Existing Contract;Private pension insurance;;0;1217
129;20.04.17;Existing Contract;Occupational disability insurance;23,8;0;1255
130;06.07.17;Existing Contract;Direct insurance;43,2;0;3633
131;19.09.17;Existing Contract;Statutory health insurance;;0;1376
132;19.01.17;Existing Contract;Statutory health insurance;;85;8
133;05.05.17;Existing Contract;Legal protection insurance;18,58;0;1995
134;23.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);;0;1362
135;28.12.17;New Contract;Occupational disability insurance;18,77;1389,55;2962
136;06.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;1565
137;06.11.17;Existing Contract;Household contents insurance;;0;1637
138;03.04.17;Existing Contract;Statutory health insurance;;0;4468
139;12.06.17;Existing Contract;Statutory health insurance;;0;195
140;02.03.17;Existing Contract;Statutory health insurance;;0;390
141;24.03.17;Existing Contract;Compulsory long-term nursing care insurance;6,75;0;2974
142;16.02.17;Existing Contract;Homeowner’s building insurance;7,06;0;228
143;01.06.17;Existing Contract;Riester pension insurance scheme;;0;2664
144;27.04.17;Existing Contract;Statutory health insurance;;0;1939
145;02.06.17;Existing Contract;Personal liability insurance, legal protection insurance & accident insurance;44,67;0;2253
146;20.02.17;Existing Contract;Statutory health insurance;;0;3049
147;17.07.17;New Contract;Legal protection insurance;68,42;0;2862
148;06.03.17;Existing Contract;Statutory health insurance;;0;4972
149;28.03.17;Existing Contract;Household contents insurance;;0;2452
150;06.02.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;4499
151;24.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;4326
152;29.06.17;Existing Contract;ADAC (automobile association) Plus membership;;0;96
153;21.06.17;Existing Contract;Supplementary dental insurance;;0;3214
154;08.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);0;0;3939
155;14.06.17;New Contract;Private pension insurance;12;1008;1197
156;07.06.17;Existing Contract;Occupational disability insurance;3,51;0;3793
157;04.07.17;Existing Contract;Private pension insurance;2,4;0;40
158;21.04.17;Existing Contract;Statutory health insurance;;0;4406
159;10.05.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;23,59;0;1875
160;17.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);0;0;4526
161;06.07.17;Existing Contract;Personal liability insurance & household contents insurance;36,2;0;4514
162;08.05.17;Existing Contract;Personal liability insurance;7,76;0;2336
163;25.09.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;3871
164;27.01.17;Existing Contract;Homeowner’s building insurance;0;0;2385
165;24.05.17;Existing Contract;Accident insurance;27,59;0;4588
166;19.07.17;New Contract;Legal protection insurance;52,31;0;667
167;21.04.17;Existing Contract;Legal protection insurance;38,79;0;2054
168;15.03.17;Existing Contract;Occupational disability & basic pension insurance;16,49;0;474
169;16.05.17;Existing Contract;Homeowner’s building insurance;;0;4646
170;28.04.17;Existing Contract;Personal liability insurance;11,43;0;3439
171;19.04.18;Existing Contract;Travel health insurance;;0;4260
172;21.06.17;Existing Contract;Motor vehicle liability insurance;74,66;0;4771
173;03.04.17;Existing Contract;Household contents insurance;0;0;1995
174;24.01.18;Existing Contract;Personal liability insurance;12,15;0;5151
175;20.01.17;Existing Contract;Personal liability insurance;0;0;1250
176;06.09.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;33,46;0;491
177;07.07.17;Existing Contract;Supplementary outpatient health insurance;;0;947
178;16.02.17;Existing Contract;Personal liability insurance, homeowner’s building insurance, household contents insurance & glass insurance;172,2;0;1594
179;10.03.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;15,58;0;4625
180;11.02.17;Existing Contract;Statutory health insurance;;0;3290
181;24.05.17;Existing Contract;Private health insurance;0;0;4515
182;05.12.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;1349
183;09.01.18;Existing Contract;Endowment life insurance;35,32;0;2756
184;24.05.17;Existing Contract;Statutory health insurance;;0;1485
185;08.05.17;Existing Contract;Statutory health insurance;;0;4330
186;06.03.17;Existing Contract;Accident insurance;37,62;0;2245
187;17.03.17;Existing Contract;Household contents insurance;;0;4059
188;13.09.17;Existing Contract;Household contents insurance;0;0;5006
189;04.05.17;Existing Contract;Motor vehicle liability insurance;34,3;0;2494
190;17.05.17;Existing Contract;Statutory health insurance;;0;4579
191;10.05.17;Existing Contract;Motor vehicle legal protection insurance;;0;2675
192;15.05.17;Existing Contract;Homeowner’s building insurance;63,73;0;5375
193;17.06.17;Existing Contract;Statutory health insurance;;0;3216
194;22.03.17;Existing Contract;Statutory health insurance;;0;1397
195;08.05.17;Existing Contract;Statutory health insurance;;0;3227
196;20.10.17;New Contract;Accident insurance;50,17;0;53
197;27.02.17;Existing Contract;Accident insurance;;0;4338
198;06.06.17;Existing Contract;Motor vehicle legal protection insurance;;0;372
199;17.04.17;Existing Contract;Statutory health insurance;;0;4518
200;06.04.17;Existing Contract;Motor vehicle liability insurance;17,73;0;4764
201;30.05.17;Existing Contract;Personal liability insurance;0;0;2118
202;21.07.17;Existing Contract;Occupational disability insurance;26,54;0;1452
203;24.03.17;Existing Contract;Statutory health insurance;;0;1739
204;31.03.17;Existing Contract;Travel health insurance;0;0;4968
205;07.12.17;Existing Contract;Personal liability insurance & legal protection insurance;213,48;0;4744
206;31.05.17;Existing Contract;Statutory health insurance;;0;5205
207;06.03.17;Existing Contract;Company pension scheme;;0;3049
208;31.03.17;New Contract;Occupational disability insurance;2,42;605,25;4659
209;28.06.17;Existing Contract;Supplementary hospitalisation insurance, daily hospital allowance insurance & supplementary dental insurance;15,16;0;2669
210;30.01.17;Existing Contract;Private health insurance;0;0;4432
211;11.04.17;Existing Contract;Household contents insurance;;0;4714
212;04.01.18;New Contract;Fund-linked Riester pension insurance scheme;12;950,4;624
213;29.06.17;Existing Contract;ADAC (automobile) membership;;0;1159
214;07.03.17;Existing Contract;Supplementary dental insurance;11,75;0;373
215;17.02.17;Existing Contract;Supplementary dental insurance;;0;408
216;03.03.17;Existing Contract;Statutory health insurance;;0;398
217;26.01.17;Existing Contract;Legal protection insurance;72,27;0;2056
218;07.03.17;Existing Contract;Household contents insurance;19,25;0;4159
219;29.06.17;Existing Contract;Motor vehicle legal protection insurance;41,74;0;5156
220;26.02.17;Existing Contract;Statutory health insurance;;0;2500
221;12.05.17;Existing Contract;Legal protection insurance;45;0;4368
222;12.06.17;Existing Contract;Household contents insurance;;0;374
223;28.03.17;Existing Contract;Statutory health insurance;;0;1710
224;01.06.17;Existing Contract;Household contents insurance & glass insurance;23,05;0;433
225;02.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;3302
226;03.04.18;Existing Contract;Occupational disability insurance;;0;655
227;16.05.17;Existing Contract;Term life insurance;;0;2664
228;16.03.17;Existing Contract;Accident insurance;;0;2511
229;17.05.17;Existing Contract;Statutory health insurance;;0;1432
230;30.04.17;Existing Contract;Statutory health insurance;;0;4930
231;08.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;3237
232;31.03.17;Existing Contract;Travel health insurance & supplementary health insurance for outpatient alternative practitioner services and visual aids;0,59;0;1271
233;19.04.17;Existing Contract;Supplementary dental insurance;4,94;0;3269
234;31.03.17;Existing Contract;Travel health insurance, travel cancellation insurance, travel curtailment insurance & travel luggage insurance;;0;3206
235;06.02.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;39,24;0;4282
236;27.02.17;Existing Contract;Endowment life insurance;;0;1031
237;10.04.17;Existing Contract;Travel health insurance;;0;4272
238;31.05.17;Existing Contract;Motor vehicle legal protection insurance;14,05;0;4576
239;10.03.17;Existing Contract;Statutory health insurance;;0;5365
240;03.05.17;Existing Contract;Accident insurance;0;0;220
241;18.04.17;Existing Contract;Motor vehicle legal protection insurance;16,07;0;1218
242;16.03.17;Existing Contract;Statutory health insurance;;0;2043
243;03.04.17;Existing Contract;Household contents insurance;7,54;0;2002
244;14.02.17;Existing Contract;Personal liability insurance, homeowner’s building insurance & household contents insurance;0;0;504
245;30.01.17;Existing Contract;Household contents insurance;11,39;0;3444
246;22.08.17;Existing Contract;Motorcycle insurance;0,9;0;5319
247;16.05.17;Existing Contract;Statutory health insurance;;0;3197
248;22.04.17;Existing Contract;Statutory health insurance;;0;5249
249;02.06.17;Existing Contract;Travel health insurance;0,11;0;2602
250;03.04.17;Existing Contract;Supplementary dental insurance;4,52;0;2999
251;30.08.17;Existing Contract;ADAC (automobile) membership;;0;2863
252;08.03.17;New Contract;Personal liability insurance;7,02;0;4625
253;16.06.17;Existing Contract;Term life insurance;;0;3051
254;25.01.18;Existing Contract;Accident insurance;;0;2531
255;19.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance (with insurance cover certificate);;0;415
256;05.04.17;Existing Contract;Occupational disability & basic pension insurance;42,72;0;2074
257;15.02.17;Existing Contract;Legal protection insurance;0;0;4635
258;26.06.17;Existing Contract;Personal liability insurance;13,6;0;2767
259;13.04.17;Existing Contract;Motor vehicle legal protection insurance;14,47;0;1799
260;12.05.17;New Contract;Household contents insurance;20,49;0;1616
261;22.05.17;Existing Contract;Pension funds;;0;365
262;09.05.17;Existing Contract;Occupational disability insurance & term life insurance;6,01;0;4901
263;06.07.17;Existing Contract;Water pollution liability insurance;13,35;0;4185
264;23.08.17;Existing Contract;Term life insurance;4,25;0;4463
265;21.02.17;Existing Contract;Statutory health insurance;;0;4046
266;11.04.17;Existing Contract;Statutory health insurance;;0;691
267;08.03.17;Existing Contract;Personal liability insurance;0;0;2126
268;04.03.17;Existing Contract;Statutory health insurance;;0;1219
269;04.04.17;Existing Contract;Household contents insurance;;0;5182
270;24.03.17;Existing Contract;Occupational disability insurance;;0;4326
271;10.05.17;Existing Contract;Legal protection insurance;258,27;0;733
272;02.06.17;Existing Contract;Travel health insurance;0,09;0;1796
273;02.06.17;Existing Contract;Motor vehicle legal protection insurance;;0;5008
274;12.05.17;Existing Contract;Endowment life insurance;10,18;0;1017
275;27.01.17;Existing Contract;Statutory health insurance;;0;976
276;24.03.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;;0;1877
277;15.11.17;Existing Contract;Accident insurance;;0;1242
278;20.04.17;New Contract;Statutory health insurance;;89;1207
279;24.02.17;Existing Contract;Occupational disability & basic pension insurance;25,97;0;1677
280;09.03.17;Existing Contract;Statutory health insurance;;0;3254
281;13.02.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;51,05;0;1388
282;02.02.17;Existing Contract;Motor vehicle legal protection insurance;0;0;1343
283;08.06.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;19,23;0;2791
284;28.07.17;Existing Contract;Riester pension insurance scheme;;0;2088
285;12.05.17;Existing Contract;Basic pension insurance;;0;3301
286;28.03.17;Existing Contract;Daily sickness benefits insurance;1,37;0;5171
287;15.05.17;Existing Contract;Household contents insurance;20,99;0;2778
288;11.05.17;Existing Contract;Travel health insurance;;0;5184
289;10.04.17;Existing Contract;Statutory health insurance;;0;1276
290;14.02.17;Existing Contract;Statutory health insurance;;0;5417
291;03.04.17;Existing Contract;Household contents insurance;0;0;3127
292;09.02.17;Existing Contract;Travel health insurance;0;0;58
293;23.05.17;Existing Contract;ADAC (automobile association) Plus membership;;0;1533
294;18.04.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;;0;3224
295;15.03.17;Existing Contract;Accident insurance;79,31;0;869
296;05.02.17;Existing Contract;Statutory health insurance;;0;2815
297;01.03.17;Existing Contract;Statutory health insurance;;0;3494
298;25.09.17;New Contract;Occupational disability insurance;14,49;1492,45;5205
299;26.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;9,01;0;4935
300;10.04.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance (with insurance cover certificate);53,17;0;4587
301;11.03.17;Existing Contract;Statutory health insurance;;0;1686
302;05.10.17;Existing Contract;Accident insurance;;0;2270
303;18.05.17;Existing Contract;Statutory health insurance;;0;1085
304;23.06.17;Existing Contract;Supplementary dental insurance;3,63;0;4962
305;17.01.17;Existing Contract;Statutory health insurance;;0;321
306;03.05.17;Existing Contract;Private pension insurance;;0;4567
307;22.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;0;0;4413
308;29.03.17;Existing Contract;Riester pension insurance scheme;38,92;0;5339
309;13.04.17;Existing Contract;Personal liability insurance;12,56;0;444
310;25.08.17;Existing Contract;Occupational disability insurance;8,64;0;3897
311;14.09.17;Existing Contract;Daily sickness benefits insurance & supplementary hospitalisation insurance;;0;460
312;08.03.17;Existing Contract;Legal protection insurance;20,08;0;4465
313;02.05.17;Existing Contract;Travel health insurance;;0;268
314;10.01.17;Existing Contract;Motor vehicle liability insurance;;0;4212
315;09.05.17;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;0;0;4623
316;28.02.17;New Contract;Personal liability insurance;9,75;0;3106
317;14.03.17;Existing Contract;Statutory health insurance;;0;909
318;22.08.17;Existing Contract;Legal protection insurance;22,08;0;3659
319;15.11.17;Existing Contract;Endowment life insurance;0;0;1630
320;30.01.17;Existing Contract;Household contents insurance;0;0;1577
321;24.02.17;Existing Contract;Term life insurance;0;0;2759
322;04.04.17;Existing Contract;Personal liability insurance;;0;2678
323;09.06.17;Existing Contract;Personal liability insurance;21,32;0;349
324;07.06.17;Existing Contract;Household contents insurance;13,82;0;4893
325;21.03.17;Existing Contract;Statutory health insurance;;0;3854
326;13.04.18;Existing Contract;Motor vehicle liability insurance & partial coverage motor vehicle insurance;16,15;0;3577
327;21.03.18;Existing Contract;Pet owner liability insurance;11,09;0;4159
328;05.03.18;Existing Contract;Motor vehicle liability insurance;0;0;2520
329;03.04.17;Existing Contract;Homeowner’s building insurance;0;0;2547
330;20.02.17;Existing Contract;Statutory health insurance;;0;4073
331;22.08.17;Existing Contract;Personal liability insurance;6,85;0;3951
332;27.04.17;Existing Contract;Occupational disability insurance & term life insurance;0;0;4619
333;06.09.17;Existing Contract;Personal liability insurance;;0;2595
334;18.04.17;Existing Contract;Accident insurance;14,7;0;4583
335;15.04.17;Existing Contract;Statutory health insurance;;0;3482
336;09.06.17;Existing Contract;Household contents insurance;6,81;0;2767
337;27.11.17;Existing Contract;Direct insurance;;0;2888
338;07.02.17;Existing Contract;Statutory health insurance;;0;5143
339;19.04.18;Existing Contract;Travel health insurance;;0;3577
340;27.04.17;Existing Contract;Statutory health insurance;;0;4717
341;13.04.17;Existing Contract;Statutory health insurance;;0;910
342;27.09.17;New Contract;Rental legal protection insurance;30,5;0;2657
343;15.03.17;Existing Contract;Legal protection insurance;25;0;2759
344;24.04.17;Existing Contract;Personal liability insurance;12,37;0;3427
345;06.04.17;Existing Contract;Direct insurance;18,4;0;2038
346;06.02.18;Existing Contract;Occupational disability insurance;5,68;0;4623
347;15.05.17;Existing Contract;Travel health insurance;1,65;0;2849
348;31.05.17;New Contract;Personal liability insurance;7,88;0;2277
349;06.06.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;13,84;0;1574
350;02.02.17;Existing Contract;Statutory health insurance;;0;3225
351;30.10.17;Existing Contract;Accident insurance;71,25;0;1995
352;27.06.17;New Contract;Household contents insurance;13,33;0;4196
353;17.01.17;Existing Contract;Accident insurance;29,09;0;2710
354;21.02.17;Existing Contract;Personal liability insurance;;0;4010
355;09.02.17;Existing Contract;Personal liability insurance;12,13;0;625
356;13.01.17;Existing Contract;Household contents insurance;12,48;0;5241
357;26.04.17;Existing Contract;Statutory health insurance;;0;3350
358;24.05.17;Existing Contract;Statutory health insurance;;0;5213
359;26.04.17;Existing Contract;Statutory health insurance;;0;2820
360;11.01.17;Existing Contract;Statutory health insurance;;0;2615
361;06.03.17;Existing Contract;Personal liability insurance;;0;4737
362;29.05.17;Existing Contract;Pet owner liability insurance;0;0;1420
363;21.11.17;Existing Contract;Accident insurance;43,46;0;2813
364;24.05.17;Existing Contract;Supplementary long-term nursing care insurance (KV);9,74;0;1533
365;06.04.17;Existing Contract;Personal liability insurance;4,13;0;4764
366;27.03.17;Existing Contract;Private health insurance;70,83;0;3359
367;17.04.17;Existing Contract;Statutory health insurance;;0;4125
368;28.04.17;Existing Contract;Statutory health insurance;;0;2729
369;24.02.17;Existing Contract;Personal liability insurance;;0;687
370;06.02.17;Existing Contract;Personal liability insurance;0;0;2838
371;10.11.17;Existing Contract;Homeowner’s building insurance;0;0;5258
372;09.05.17;Existing Contract;Electrical items insurance;0;0;728
373;06.02.17;Existing Contract;Travel health insurance;0;0;724
374;13.02.17;Existing Contract;Statutory health insurance;;0;684
375;27.02.17;Existing Contract;Supplementary hospitalisation insurance, supplementary dental insurance, supplementary outpatient health insurance & daily hospital allowance insurance;1,41;0;4583
376;19.05.17;Existing Contract;Term life insurance;1,29;0;3284
377;07.04.17;Existing Contract;Household contents insurance;0;0;3118
378;15.05.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;22,28;0;3289
379;10.01.18;Existing Contract;Occupational disability insurance;0;0;1133
380;30.08.17;Existing Contract;Homeowner’s building insurance;;0;813
381;16.03.17;Existing Contract;Statutory health insurance;;0;4256
382;12.04.17;Existing Contract;Motor vehicle liability insurance & fully comprehensive motor vehicle insurance;23,86;0;1125
383;13.02.17;Existing Contract;Legal protection insurance;29,66;0;1314
384;08.09.17;Existing Contract;ADAC (automobile association) Plus membership;;0;793
385;27.02.17;Existing Contract;Household contents insurance;39,13;0;3108
386;27.03.17;Existing Contract;Personal liability insurance;9,9;0;2572
387;28.03.18;Existing Contract;Supplementary dental insurance;3,68;0;3199
388;20.06.17;Existing Contract;Occupational disability & basic pension insurance;17,29;0;3455
389;06.02.17;Existing Contract;Personal liability insurance;8,4;0;4600
390;02.03.17;Existing Contract;Personal liability insurance;0;0;3582
391;28.03.17;Existing Contract;Motor vehicle liability insurance;28,27;0;2321
392;28.04.17;New Contract;Household contents insurance;33,06;0;1088
393;29.05.17;Existing Contract;Term life insurance;4,26;0;2381
394;17.02.17;Existing Contract;Personal liability insurance;13,19;0;151
395;25.01.17;Existing Contract;Pet owner liability insurance;19,18;0;3611
396;07.03.17;Existing Contract;Legal protection insurance;36,02;0;2261
397;04.04.17;Existing Contract;Personal liability insurance;7,84;0;316
398;14.02.17;Existing Contract;Endowment life insurance;4,8;0;4322
399;07.03.17;Existing Contract;Statutory health insurance;;0;4622
400;04.04.17;Existing Contract;Statutory health insurance;;0;1100
401;15.05.17;Existing Contract;Personal liability insurance;;0;1005
402;08.03.17;Existing Contract;Statutory health insurance;;0;713
403;02.02.17;Existing Contract;Personal liability insurance;0;0;5170
